ID,Nom_Produit,Marque,Code_Barres,Categorie,Energie_kJ,Energie_kcal,Acides_Gras_Satures_g,Sucres_g,Sodium_mg,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,Score_Nutriscore,Label_Nutriscore,Score_Greenscore,Label_Greenscore,Label_Bio,Nombre_Additifs,Liste_Additifs,URL_OpenFoodFacts,Date_Collecte,Notes,Classe_ELECTRE_Pessimiste_06,Classe_ELECTRE_Optimiste_06,Classe_ELECTRE_Pessimiste_07,Classe_ELECTRE_Optimiste_07,Classe_SuperNutriScore
125,Orangina,Orangina,3124480184320,Soda,173.0,41.0,0.0,9.6,4.0,0.01,0.1,0.0,0,9,D,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3124480184320/orangina,2025-10-17,,,,,,
126,Club-Mate Original,"Club Mate,Loscher",4029764001807,Autre boisson,84.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,2,"e290, e330",https://world.openfoodfacts.org/product/4029764001807/club-mate,2025-10-17,,,,,,
127,Mandel Vanille Geschmack,Alpro,5411188120742,Boisson lactée,126.0,30.0,0.1,3.8,56.0,0.14,0.4,1.3,0,5,C,69.0,B,NON,3,"e322, e410, e418",https://world.openfoodfacts.org/product/5411188120742/mandel-vanille-geschmack-alpro,2025-10-17,,,,,,
128,High Protein Soja Drink,"Alpro, DANONE AS",5411188130031,Boisson lactée,239.0,57.0,0.5,2.5,40.0,0.1,5.0,0.9,0,-1,B,78.0,A,NON,2,"e340, e418",https://world.openfoodfacts.org/product/5411188130031/plant-protein-soya-drink-alpro,2025-10-17,,,,,,
129,Eau minérale Ifri,Ifri,6130093010045,Eau,0.0,0.0,0.0,0.0,1.6,0.004,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6130093010045/eau-minerale-ifri,2025-10-17,,,,,,
130,Jafaden,"Marque Repère, Jafaden",3564700494493,Jus de fruits,184.0,43.0,0.1,9.7,4.0,0.01,0.6,0.5,0,5,C,48.0,C,NON,0,,https://world.openfoodfacts.org/product/3564700494493/jafaden-marque-repere,2025-10-17,,,,,,
131,Crema di cocco,Suzi Wan,4002359654688,Boisson lactée,1039.0,252.0,24.0,3.0,16.0,0.04,2.7,0.5,0,11,E,69.0,B,NON,1,e412,https://world.openfoodfacts.org/product/4002359654688/crema-di-cocco-suzi-wan,2025-10-17,,,,,,
132,Boisson au soja nature bio,"Bio Village, Marque Repère",3564707095723,Boisson lactée,154.0,37.0,0.4,0.7,4.0,0.01,3.7,0.7,0,-3,B,102.0,A-PLUS,OUI,0,,https://world.openfoodfacts.org/product/3564707095723/boisson-au-soja-nature-bio-bio-village,2025-10-17,,,,,,
133,"Coca-Cola Zero 1,25 Liter","Coca-Cola,Coca-Cola Company",5000112576009,Soda,0.9,0.2,0.0,0.0,8.0,0.02,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,7,"e150d, e290, e331, e338, e950, e951, e960c",https://world.openfoodfacts.org/product/5000112576009/coca-cola-zero,2025-10-17,,,,,,
134,Bebida de Avena,Yosoy,8423352100143,Autre boisson,198.0,47.0,0.1,4.8,12.0,0.03,1.6,0.7,0,4,C,63.0,B,NON,0,,https://world.openfoodfacts.org/product/8423352100143/bebida-de-avena-yosoy,2025-10-17,,,,,,
135,"Kokosnussdrink mit Soja, Barista",alpro,5411188119753,Boisson lactée,139.0,33.0,0.7,3.3,40.0,0.1,1.5,0.2,0,3,C,87.0,A,NON,4,"e170, e170i, e340, e418",https://world.openfoodfacts.org/product/5411188119753/barista-coconut-alpro,2025-10-17,,,,,,
136,Amande Sans sucres,"Carrefour BIO, Carrefour",3560071014094,Boisson lactée,106.0,26.0,0.2,0.5,40.0,0.1,0.7,0.5,0,2,B,89.0,A,OUI,0,,https://world.openfoodfacts.org/product/3560071014094/amande-sans-sucres-carrefour-bio,2025-10-17,,,,,,
137,Thé glacé pêche intense,"COCA-COLA, FuzeTea",5449000295750,Thé,79.0,19.0,0.0,4.4,12.0,0.03,0.0,0.0,0,8,D,58.0,C,NON,5,"e296, e300, e330, e331, e960a",https://world.openfoodfacts.org/product/5449000295750/the-glace-peche-intense-coca-cola,2025-10-17,,,,,,
138,Yeo Valley Organic Kefir Strawberry Fermented Yoghurt,Yeo Valley,5036589254270,Boisson lactée,331.0,79.0,1.3,9.5,44.0,0.11,4.2,0.1,0,10,E,44.0,D,OUI,0,,https://world.openfoodfacts.org/product/5036589254270/yeo-valley-organic-kefir-strawberry-fermented-yoghurt,2025-10-17,,,,,,
139,Nestlé Pure Life,Nestlé,3700123300380,Eau,0.0,0.0,0.0,0.0,2.0,0.005,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3700123300380/eau-pure-life-nestle,2025-10-17,,,,,,
140,Le Bio Orange,Pressade,3254691586085,Jus de fruits,144.0,34.0,0.0,8.2,0.0,0.0,0.5,0.5,0,5,C,111.0,A-PLUS,OUI,0,,https://world.openfoodfacts.org/product/3254691586085/le-bio-orange-pressade,2025-10-17,,,,,,
141,Tropicana Multivitamines 1 L,Tropicana,3502110003201,Jus de fruits,204.0,48.0,0.0,10.7,0.0,0.0,0.0,0.0,0,12,E,31.0,D,NON,0,,https://world.openfoodfacts.org/product/3502110003201/tropicana-multivitamines-1-l,2025-10-17,,,,,,
142,Tropicana 100% oranges pressées avec pulpe 1 L,Tropicana,3502110009401,Jus de fruits,179.0,42.0,0.0,8.6,0.0,0.0,0.8,0.8,0,4,C,48.0,C,NON,0,,https://world.openfoodfacts.org/product/3502110009401/tropicana-100-oranges-pressees-avec-pulpe-1-l,2025-10-17,,,,,,
143,Boisson avoine,"Bio Village, Marque Repère",3564707105675,Boisson lactée,173.0,49.0,0.2,5.0,39.0,0.098,0.5,0.8,0,6,C,83.0,A,OUI,0,,https://world.openfoodfacts.org/product/3564707105675/boisson-avoine-bio-village,2025-10-17,,,,,,
144,Besbassa,Sarl diar ezarga,6134082000017,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,2,"e164, e180",https://world.openfoodfacts.org/product/6134082000017/besbassa-sarl-diar-ezarga,2025-10-17,,,,,,
145,Coca-Cola Zero,Coca-Cola,5449000133724,Soda,1.3,0.3,0.0,0.0,4.0,0.01,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,4,"e150d, e950, e951, e952",https://world.openfoodfacts.org/product/5449000133724/coca-cola-zero,2025-10-17,,,,,,
146,Apa,Aqua Carpatica,59493518,Eau,0.0,0.0,0.0,0.0,0.7,0.002,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/59493518/apa-aqua-carpatica,2025-10-17,,,,,,
147,AMINE,FAMI,6111035503191,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6111035503191/amine-fami,2025-10-17,,,,,,
148,Coca-Cola Zero Sugar 25cl,Coca-Cola,5449000020987,Soda,1.3,0.3,0.0,0.0,4.0,0.01,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,6,"e150d, e331, e338, e950, e951, e960c",https://world.openfoodfacts.org/product/5449000020987/coca-cola-zero-sugar-25cl,2025-10-17,,,,,,
149,Choc Shot,Sweet Freedom,96066829,Soda,1112.0,264.0,1.7,45.1,0.0,0.0,2.5,7.5,0,9,D,13.0,F,NON,0,,https://world.openfoodfacts.org/product/96066829/choc-shot-sweet-freedom,2025-10-17,,,,,,
150,"Alpro® Barista Mandeldrink, 1 L, UHT",Alpro,5411188129899,Autre boisson,99.0,24.0,0.1,2.5,32.0,0.08,0.5,0.3,0,4,C,63.0,B,NON,5,"e170, e170i, e340, e412, e418",https://world.openfoodfacts.org/product/5411188129899/barista-mandeldrink-alpro,2025-10-17,,,,,,
151,Limonata,"Nestlé, San Pellegrino",8002270936777,Soda,147.0,35.0,0.0,8.0,0.0,0.0,0.1,0.1,0,8,D,,NOT-APPLICABLE,NON,1,e290,https://world.openfoodfacts.org/product/8002270936777/limonata-nestle,2025-10-17,,,,,,
152,Eau minérale naturelle,Vittel,3179732333919,Eau,0.0,0.0,0.0,0.0,0.5,0.001,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3179732333919/eau-minerale-naturelle-vittel,2025-10-17,,,,,,
153,SOJA Sans sucres ajoutés**,"Carrefour BIO, Carrefour, Groupe Carrefour",3270190128717,Boisson lactée,171.0,41.0,0.4,0.7,4.0,0.01,3.8,0.6,0,-3,B,89.0,A,OUI,0,,https://world.openfoodfacts.org/product/3270190128717/soja-sans-sucres-ajoutes-carrefour-bio,2025-10-17,,,,,,
154,Zumo pura naranja,Hacendado,8480000390103,Autre boisson,184.0,44.0,0.0,9.3,0.0,0.0,0.7,0.6,0,7,D,54.0,C,NON,0,,https://world.openfoodfacts.org/product/8480000390103/zumo-pura-naranja-hacendado,2025-10-17,,,,,,
155,Smoozy,Albane,6111250010207,Boisson lactée,352.0,84.0,1.3,9.2,40.0,0.1,2.2,0.0,0,13,E,17.0,E,NON,1,e330,https://world.openfoodfacts.org/product/6111250010207/smoozy-albane,2025-10-17,,,,,,
156,STARBUCKS Signature chocolat 70% 300g,"Signature chocolate, Starbucks",7613287598967,Soda,1593.0,381.0,7.0,28.6,92.0,0.23,14.6,12.3,0,8,D,-1.0,F,NON,2,"e322, e322i",https://world.openfoodfacts.org/product/7613287598967/starbucks-signature-chocolat-70-300g-signature-chocolate,2025-10-17,,,,,,
157,Orangina zéro,Orangina,3124480185020,Soda,19.0,4.0,0.0,0.5,8.0,0.02,0.1,0.0,0,4,C,,NOT-APPLICABLE,NON,3,"e202, e950, e955",https://world.openfoodfacts.org/product/3124480185020/orangina-zero,2025-10-17,,,,,,
158,"RICORE Original, Café & Chicorée, Recharge 180g",Nestlé,7613034227775,Café,577.0,141.0,0.1,9.1,92.0,0.23,2.7,45.3,0,0,B,-20.0,F,NON,0,,https://world.openfoodfacts.org/product/7613034227775/ricore-original-cafe-chicoree-recharge-180g-nestle,2025-10-17,,,,,,
159,NESQUIK Poudre Cacaotée boîte 500g,"Nestlé, Nesquik",7613036009102,Soda,1634.0,386.0,1.6,75.1,164.0,0.41,5.1,7.7,0,9,D,55.0,C,NON,2,"e322, e322i",https://world.openfoodfacts.org/product/7613036009102/nesquik-poudre-cacaotee-boite-500g-nestle,2025-10-17,,,,,,
160,"Not Milk 1,8",Alpro,5411188135005,Boisson lactée,182.0,44.0,0.3,0.0,44.0,0.11,0.7,1.0,0,3,C,61.0,B,NON,3,"e322, e340, e418",https://world.openfoodfacts.org/product/5411188135005/alpro-haferdrink-shh-this-is-not-mlk-fettarm-1l,2025-10-17,,,,,,
161,Starbucks signature chocolat,Starbucks,7613287598936,Soda,1651.0,392.0,4.6,57.6,68.0,0.17,8.6,12.4,0,12,E,-3.0,F,NON,2,"e322, e322i",https://world.openfoodfacts.org/product/7613287598936/starbucks-signature-chocolat,2025-10-17,,,,,,
162,"Apă minerală naturală, natural carbogazoasă",Borsec,5942219115845,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/5942219115845/ap%C4%83-mineral%C4%83-natural%C4%83-natural-carbogazoas%C4%83-borsec,2025-10-17,,,,,,
163,Original COCA-COLA,Coca cola,3174780000363,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,1,e150d,https://world.openfoodfacts.org/product/3174780000363/original-coca-cola,2025-10-17,,,,,,
164,Pur jus de citron,"Jardin bio, Léa Nature",3456300002492,Jus de fruits,133.0,31.0,0.2,1.7,4.0,0.01,0.0,0.0,0,-3,B,53.0,C,OUI,0,,https://world.openfoodfacts.org/product/3456300002492/pur-jus-de-citron-jardin-bio,2025-10-17,,,,,,
165,Rich & creamy coconut milk,"Amoy,Alifoods",5010928459502,Autre boisson,710.0,165.0,15.0,2.5,60.0,0.15,0.5,0.5,0,20,E,70.0,B,NON,2,"e435, e466",https://world.openfoodfacts.org/product/5010928459502/rich-creamy-coconut-milk-amoy,2025-10-17,,,,,,
166,"Alpro Sojadrink Original fresh mit Calcium, 1 L, 11",Alpro,5411188091912,Boisson lactée,162.0,39.0,0.3,2.5,32.0,0.08,3.0,0.5,0,-1,B,73.0,B,NON,4,"e170, e170i, e340, e418",https://world.openfoodfacts.org/product/5411188091912/soya-original-drink-alpro,2025-10-17,,,,,,
167,Tropicana Multivitamines format familial 1.5 L,Tropicana,5410188011326,Jus de fruits,199.0,47.0,0.0,11.0,0.0,0.0,0.5,0.6,0,6,C,26.0,E,NON,0,,https://world.openfoodfacts.org/product/5410188011326/tropicana-multivitamines-format-familial-1-5-l,2025-10-17,,,,,,
168,Fanta orange 1.5l,Fanta,5449000052926,Soda,203.0,48.0,0.0,11.7,0.0,0.0,0.0,0.0,0,13,E,,NOT-APPLICABLE,NON,1,e300,https://world.openfoodfacts.org/product/5449000052926/fanta-orange-1-5l,2025-10-17,,,,,,
169,Boisson à l'avoine,Oatly,7394376615979,Boisson lactée,196.0,48.0,0.2,3.5,40.0,0.1,1.1,0.8,0,5,C,63.0,B,NON,0,,https://world.openfoodfacts.org/product/7394376615979/boisson-a-l-avoine-oatly,2025-10-17,,,,,,
170,Boisson à l'avoine,Vemondo,4056489989356,Boisson lactée,154.0,37.0,0.2,3.3,32.0,0.08,0.4,1.0,0,5,C,77.0,A,OUI,0,,https://world.openfoodfacts.org/product/4056489989356/boisson-a-l-039-avoine-vemondo,2025-10-17,,,,,,
171,"Schweppes agrumes aux saveurs d'orange,🍊de pamplemousse, de citron vert & de mandarine",SchweppesOrangina Schweppes,3124480186898,Soda,101.0,24.0,0.0,5.7,4.0,0.01,0.0,0.0,0,10,E,,NOT-APPLICABLE,NON,6,"e14xx, e202, e330, e445, e950, e955",https://world.openfoodfacts.org/product/3124480186898/schweppes-agrumes-aux-saveurs-d-orange-%F0%9F%8D%8Ade-pamplemousse-de-citron-vert-de-mandarine-schweppesorangina-schweppes,2025-10-17,,,,,,
172,Eau de source de montagne,Saguaro,40882475,Eau,0.1,0.1,0.1,0.1,440.0,1.1,0.1,0.1,0,5,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/40882475/eau-de-source-de-montagne-saguaro,2025-10-17,,,,,,
173,NECTAR Pêche,Valencia,6111251750034,Jus de fruits,188.0,45.0,0.0,8.9,0.0,0.0,0.3,0.0,0,8,D,18.0,E,NON,1,e330,https://world.openfoodfacts.org/product/6111251750034/nectar-peche-valencia,2025-10-17,,,,,,
174,Candy'Up Goût Chocolat🍫,Candia,3176571744289,Soda,263.0,62.0,0.6,9.7,36.0,0.09,3.2,0.6,0,6,C,29.0,E,NON,0,,https://world.openfoodfacts.org/product/3176571744289/candy-up-gout-chocolat%F0%9F%8D%AB-candia,2025-10-17,,,,,,
175,Almond Breeze Unsweetened Low Fat Milk Alternative,Blue Diamond Almonds,0041570080146,Boisson lactée,53.0,13.0,0.1,0.0,60.0,0.15,0.5,0.0,0,1,B,64.0,B,NON,3,"e322, e322i, e418",https://world.openfoodfacts.org/product/0041570080146/almond-breeze-unsweetened-low-fat-milk-alternative-blue-diamond-almonds,2025-10-17,,,,,,
176,Volvic Zest Citron,Volvic,3057640317743,Eau,19.0,4.0,0.0,0.9,4.0,0.01,0.0,0.0,0,1,B,,NOT-APPLICABLE,NON,1,e330,https://world.openfoodfacts.org/product/3057640317743/volvic-zest-citron,2025-10-17,,,,,,
177,Thé noir glacé saveur pêche intense,Fuze Tea,5449000232465,Thé,80.0,19.0,0.0,4.3,12.0,0.03,0.0,0.0,0,4,C,68.0,B,NON,4,"e296, e300, e330, e331",https://world.openfoodfacts.org/product/5449000232465/the-noir-glace-saveur-peche-intense-fuze-tea,2025-10-17,,,,,,
178,NESQUIK Poudre Cacaotée boîte 500g,"NestléNesquik, Nestlé, Nesquik",7613036012249,Soda,1634.0,386.0,1.6,75.1,164.0,0.41,5.1,7.7,0,9,D,49.0,C,NON,2,"e322, e322i",https://world.openfoodfacts.org/product/7613036012249/nesquik-poudre-cacaotee-boite-500g-nestlenesquik,2025-10-17,,,,,,
179,Jus de pomme,Lidl Solevita,4056489249603,Jus de fruits,192.0,45.0,0.0,10.0,4.0,0.01,0.5,0.0,0,5,C,60.0,B,NON,0,,https://world.openfoodfacts.org/product/4056489249603/jus-de-pomme-lidl-solevita,2025-10-17,,,,,,
180,Oat,"Vemondo, Lidl",4056489804673,Boisson lactée,173.0,41.2,0.2,3.12,48.0,0.12,0.32,0.6,0,5,C,57.0,C,NON,0,,https://world.openfoodfacts.org/product/4056489804673/oat-vemondo,2025-10-17,,,,,,
181,Tesco Oat Drink,Tesco,5057753940317,Boisson lactée,199.0,47.0,0.2,4.2,40.0,0.1,0.5,0.7,0,6,C,57.0,C,NON,1,e418,https://world.openfoodfacts.org/product/5057753940317/tesco-oat-drink,2025-10-17,,,,,,
182,Pétillante Saveur Citron vert,"Lidl, Saguaro",20656942,Eau,1.0,0.0,0.0,0.0,4.0,0.01,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/20656942/petillante-saveur-citron-vert-lidl,2025-10-17,,,,,,
183,cafe de cereales,Nestlé,7613036569927,Café,1522.0,359.0,0.0,5.2,72.0,0.18,5.0,7.7,0,1,B,,UNKNOWN,OUI,0,,https://world.openfoodfacts.org/product/7613036569927/cafe-de-cereales-nestle,2025-10-17,,,,,,
184,NESQUIK Poudre cacaotée boîte 1Kg + 20% offert,"Nestlé, Nesquik",7613036977869,Soda,1634.0,386.0,1.6,75.1,164.0,0.41,5.1,7.7,0,9,D,49.0,C,NON,2,"e322, e322i",https://world.openfoodfacts.org/product/7613036977869/nesquik-poudre-cacaotee-boite-1kg-20-offert-nestle,2025-10-17,,,,,,
185,Strawberries & Bananas,Innocent,5038862320108,Autre boisson,204.0,48.0,0.0,10.0,0.0,0.0,0.53,1.1,0,11,E,63.0,B,NON,0,,https://world.openfoodfacts.org/product/5038862320108/strawberries-bananas-innocent,2025-10-17,,,,,,
186,Blackcurrant Flavored Drink with Nata de Coco,Mogu Mogu,8850389115367,Eau,213.0,50.0,0.0,12.0,44.0,0.11,0.0,0.5,0,14,E,,NOT-APPLICABLE,NON,4,"e133, e211, e327, e330",https://world.openfoodfacts.org/product/8850389115367/blackcurrant-flavored-drink-with-nata-de-coco-mogu-mogu,2025-10-17,,,,,,
187,Aranciata Rossa (orange sanguine),"Nestlé, San Pellegrino",8002270506802,Soda,161.0,38.0,0.0,8.8,0.0,0.0,0.1,0.0,0,10,E,,NOT-APPLICABLE,NON,1,e290,https://world.openfoodfacts.org/product/8002270506802/aranciata-rossa-orange-sanguine-nestle,2025-10-17,,,,,,
188,Coca-Cola Original 0.5,Coca-Cola,59492573,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338",https://world.openfoodfacts.org/product/59492573/coca-cola-original-0-5,2025-10-17,,,,,,
189,Pj pomme pet 1l,Paquito,3250390880479,Jus de fruits,206.0,48.0,0.0,11.0,0.0,0.0,0.0,0.0,0,6,C,50.0,C,NON,0,,https://world.openfoodfacts.org/product/3250390880479/pj-pomme-pet-1l-paquito,2025-10-17,,,,,,
190,"Innocent myrtille, cassis, pomme, cranberry",Innocent,5038862139137,Jus de fruits,192.0,45.3,0.07,10.0,2.7,0.007,0.33,0.33,0,5,C,26.0,E,NON,0,,https://world.openfoodfacts.org/product/5038862139137/innocent-myrtille-cassis-pomme-cranberry,2025-10-17,,,,,,
191,Lemon juice,Aldi,4088600099071,Jus de fruits,84.0,20.0,0.1,0.5,4.0,0.01,0.5,0.5,0,-5,B,31.0,D,NON,1,e224,https://world.openfoodfacts.org/product/4088600099071/lemon-juice-aldi,2025-10-17,,,,,,
192,Tropico,Tropico,5449000012814,Soda,129.0,30.0,8.0,7.2,0.0,0.0,0.0,0.0,0,15,E,,NOT-APPLICABLE,NON,3,"e296, e300, e330",https://world.openfoodfacts.org/product/5449000012814/tropico,2025-10-17,,,,,,
193,Bebida Choco Avena,Hacendado,8402001014369,Autre boisson,185.0,44.0,0.3,2.4,60.0,0.15,1.2,1.0,0,9,D,52.0,C,NON,4,"e412, e418, e950, e955",https://world.openfoodfacts.org/product/8402001014369/avena-choco-hacendado,2025-10-17,,,,,,
194,Organic soya drink,Plenish,5060362072263,Autre boisson,132.0,32.0,0.3,0.0,0.0,0.0,3.2,0.6,0,-5,B,89.0,A,OUI,0,,https://world.openfoodfacts.org/product/5060362072263/organic-soya-drink-plenish,2025-10-17,,,,,,
195,Innocent Smooth Orange Juice,Innocent,5038862102704,Jus de fruits,149.0,35.0,0.1,7.8,4.0,0.01,0.7,0.7,0,8,D,51.0,C,NON,0,,https://world.openfoodfacts.org/product/5038862102704/innocent-smooth-orange-juice,2025-10-17,,,,,,
196,100% oranges sans pulpe,innocent,5038862162500,Jus de fruits,149.0,35.0,0.1,7.8,4.0,0.01,0.7,0.7,0,2,B,47.0,C,NON,0,,https://world.openfoodfacts.org/product/5038862162500/100-oranges-sans-pulpe-innocent,2025-10-17,,,,,,
197,Zumo pura naranja con pulpa,Hacendado,8480000390325,Jus de fruits,189.0,44.0,0.0,9.3,0.0,0.0,0.7,0.8,0,7,D,55.0,C,NON,0,,https://world.openfoodfacts.org/product/8480000390325/zumo-pura-naranja-con-pulpa-hacendado,2025-10-17,,,,,,
198,Red Bull Energy Drink,Red Bull,90162565,Boisson énergisante,195.0,46.0,0.0,11.0,40.0,0.1,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,1,e150a,https://world.openfoodfacts.org/product/90162565/red-bull-energy-drink,2025-10-17,,,,,,
199,Coconut milk,Freshona,4056489367611,Boisson lactée,731.0,177.0,16.0,1.8,12.0,0.03,1.5,0.8,0,18,E,63.0,B,NON,0,,https://world.openfoodfacts.org/product/4056489367611/coconut-milk-freshona,2025-10-17,,,,,,
200,Jus d'orange avec pulpe,Innocent,5038862160506,Jus de fruits,156.0,36.0,0.0,7.8,0.0,0.0,0.7,0.85,0,3,C,52.0,C,NON,0,,https://world.openfoodfacts.org/product/5038862160506/jus-d-orange-avec-pulpe-innocent,2025-10-17,,,,,,
201,Innocent jus ananas & fruit de la passion 900ml,Innocent,5038862166508,Jus de fruits,184.0,43.0,0.0,9.5,0.0,0.0,0.38,0.45,0,5,C,30.0,D,NON,0,,https://world.openfoodfacts.org/product/5038862166508/innocent-jus-ananas-fruit-de-la-passion-900ml,2025-10-17,,,,,,
202,Énergie Chérie,innocent,5038862130462,Jus de fruits,181.0,43.0,0.01,9.8,0.0,0.0,0.18,0.0,0,11,E,28.0,E,NON,0,,https://world.openfoodfacts.org/product/5038862130462/energie-cherie-innocent,2025-10-17,,,,,,
203,Yaourt à boire sucré aromatisé,YoplaitYop,3329770063273,Boisson lactée,277.0,65.0,0.5,10.4,48.0,0.12,3.0,0.0,0,9,D,31.0,D,NON,0,,https://world.openfoodfacts.org/product/3329770063273/yaourt-a-boire-sucre-aromatise-yoplaityop,2025-10-17,,,,,,
204,Coca-Cola,Coca-Cola,5000112638769,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,2,"e150d, e338",https://world.openfoodfacts.org/product/5000112638769/coca-cola,2025-10-17,,,,,,
205,Pepsi Zéro Sleek 33 cl,"Diet pepsi, Pepsi zero, Pepsico",3168930159742,Soda,2.0,0.4,0.0,0.0,4.0,0.01,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,6,"e150d, e330, e331, e338, e950, e951",https://world.openfoodfacts.org/product/3168930159742/pepsi-zero-sleek-33-cl-diet-pepsi,2025-10-17,,,,,,
206,Leche de coco,Dee Thai,8859585800152,Boisson lactée,680.0,165.0,15.0,2.5,60.0,0.15,0.5,0.5,0,16,E,63.0,B,NON,1,e466,https://world.openfoodfacts.org/product/8859585800152/leche-de-coco-dee-thai,2025-10-17,,,,,,
207,Coca Cola,Coca-Cola,5942321000060,Autre boisson,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,UNKNOWN,NON,3,"e150d, e290, e338",https://world.openfoodfacts.org/product/5942321000060/coca-cola,2025-10-17,,,,,,
208,Boisson avoine BIO 1l,"Les Mousquetaires, Regain, Sélection des Mousquetaires",3250392243517,Boisson lactée,183.0,43.0,0.2,4.7,32.0,0.08,0.5,0.8,0,6,C,85.0,A,OUI,0,,https://world.openfoodfacts.org/product/3250392243517/boisson-avoine-bio-1l-les-mousquetaires,2025-10-17,,,,,,
209,Boisson avoine - 1L,"U, U Bio",3256223377406,Boisson lactée,182.0,43.0,0.2,5.0,32.0,0.08,0.5,0.8,0,6,C,82.0,A,OUI,0,,https://world.openfoodfacts.org/product/3256223377406/boisson-avoine-1l-u,2025-10-17,,,,,,
210,Eau Minérale Naturelle des Alpes,"Marque Repère, E.Leclerc, Leclerc",3564700126790,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3564700126790/eau-minerale-naturelle-des-alpes-marque-repere,2025-10-17,,,,,,
211,Organic Coconut Drink imp,Rude health,5060120282347,Boisson lactée,223.0,53.0,1.0,4.2,40.0,0.1,0.1,0.7,0,7,D,61.0,B,OUI,0,,https://world.openfoodfacts.org/product/5060120282347/organic-coconut-drink-imp-rude-health,2025-10-17,,,,,,
212,Cola,Coca-Cola,5449000017888,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338",https://world.openfoodfacts.org/product/5449000017888/cola-coca-cola,2025-10-17,,,,,,
213,"Sprite Zero 1,5L","Sprite, The Coca-Cola Company, Coca-Cola Europacific Partners DE",5449000110039,Soda,5.0,1.0,0.0,0.0,12.0,0.03,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/5449000110039/sprite-zero-1-5l,2025-10-17,,,,,,
214,Raïbi,albane,6111265800183,Jus de fruits,301.0,72.0,0.7,9.2,0.0,0.0,2.3,0.0,0,11,E,18.0,E,NON,0,,https://world.openfoodfacts.org/product/6111265800183/raibi-albane,2025-10-17,,,,,,
215,Tasty Summer Fruits,Rocks,5023762000632,Soda,75.0,18.0,0.0,4.3,0.0,0.0,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,1,e330,https://world.openfoodfacts.org/product/5023762000632/tasty-summer-fruits-rocks,2025-10-17,,,,,,
216,Boisson soja nature BIO 1l,"Regain, Regain Bio",3250391318353,Autre boisson,168.0,40.0,0.4,0.4,2.4,0.006,3.9,0.5,0,-4,B,95.0,A-PLUS,OUI,0,,https://world.openfoodfacts.org/product/3250391318353/boisson-soja-nature-bio-1l-regain,2025-10-17,,,,,,
217,Tourtel 27.5 cl Tourtel Twist Lime 0.0 DEGRE ALCOOL,Tourtel twist,3080216050751,Autre boisson,132.0,32.0,0.0,5.3,4.0,0.01,0.2,0.0,0,6,C,41.0,D,NON,3,"e290, e330, e414",https://world.openfoodfacts.org/product/3080216050751/tourtel-27-5-cl-tourtel-twist-lime-0-0-degre-alcool,2025-10-17,,,,,,
218,Orangina,Orangina,3124480167026,Soda,175.0,41.0,0.0,9.6,4.0,0.01,0.1,0.0,0,9,D,,NOT-APPLICABLE,NON,1,e202,https://world.openfoodfacts.org/product/3124480167026/orangina,2025-10-17,,,,,,
