ID,Nom_Produit,Marque,Code_Barres,Categorie,Energie_kJ,Energie_kcal,Acides_Gras_Satures_g,Sucres_g,Sodium_mg,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,Score_Nutriscore,Label_Nutriscore,Score_Greenscore,Label_Greenscore,Label_Bio,Nombre_Additifs,Liste_Additifs,URL_OpenFoodFacts,Date_Collecte,Notes,Classe_ELECTRE_Pessimiste_06,Classe_ELECTRE_Optimiste_06,Classe_ELECTRE_Pessimiste_07,Classe_ELECTRE_Optimiste_07,Classe_SuperNutriScore
58,Orangensaft,Tropicana,3502110009449,Jus de fruits,182.0,40.0,0.0,8.9,0.0,0.0,0.8,0.6,0,4,C,43.0,D,NON,0,,https://world.openfoodfacts.org/product/3502110009449/orangensaft-tropicana,2025-10-17,,,,,,
59,Guedila,Guedila,6130758000022,Eau,0.0,0.0,0.0,0.0,2.9,0.007,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/6130758000022/guedila,2025-10-17,,,,,,
60,Alpro Not Milk,ALPRO,5411188134985,Autre boisson,248.0,59.0,0.4,0.0,48.0,0.12,0.7,1.0,0,5,C,63.0,B,NON,2,"e340, e418",https://world.openfoodfacts.org/product/5411188134985/not-milk-drink-pflanzlich-voll-alpro,2025-10-17,,,,,,
61,Banania Original - Cacao Céréales Touche De Banane & Miel,Banania,3700278400881,Soda,1577.0,373.0,1.4,69.0,24.0,0.06,5.6,6.7,0,9,D,47.0,C,NON,0,,https://world.openfoodfacts.org/product/3700278400881/banania-original-cocoa-cereals-with-hint-of-banana-honey,2025-10-17,,,,,,
62,Soja nature sans sucre ajouté bio,Bjorg,3229820019604,Boisson lactée,178.0,43.0,0.6,0.5,12.0,0.03,3.9,0.5,0,-4,B,99.0,A-PLUS,OUI,0,,https://world.openfoodfacts.org/product/3229820019604/soja-no-sugar-bjorg,2025-10-17,,,,,,
63,Haway tropical,Hawai,5449000025272,Soda,157.0,37.0,0.0,8.5,0.0,0.0,0.0,0.0,0,10,E,,NOT-APPLICABLE,NON,3,"e110, e1450, e444",https://world.openfoodfacts.org/product/5449000025272/haway-tropical-hawai,2025-10-17,,,,,,
64,Grand Arôme moins de sucre,Poulain,3664346315371,Soda,296.0,70.0,1.1,8.4,44.0,0.11,3.9,1.1,0,16,E,36.0,D,NON,0,,https://world.openfoodfacts.org/product/3664346315371/grand-arome-moins-de-sucre-poulain,2025-10-17,,,,,,
65,Organic Oat drink,Plenish,5060362071051,Boisson lactée,138.0,33.0,0.1,3.8,32.0,0.08,0.6,0.5,0,5,C,52.0,C,NON,0,,https://world.openfoodfacts.org/product/5060362071051/organic-oat-drink-plenish,2025-10-17,,,,,,
66,Coco Sans Sucres,alpro,5411188128311,Autre boisson,59.0,14.0,1.1,0.0,28.0,0.07,0.1,0.0,0,2,B,40.0,D,NON,3,"e412, e415, e418",https://world.openfoodfacts.org/product/5411188128311/coconut-drink-with-added-calcium-and-vitamin-b12-alpro,2025-10-17,,,,,,
67,"Alpro Sojadrink, Schokoladen-Geschmack, Protein 1L",alpro,5411188130055,Soda,291.0,69.0,0.6,5.0,64.0,0.16,5.0,1.3,0,2,B,94.0,A-PLUS,NON,2,"e340, e418",https://world.openfoodfacts.org/product/5411188130055/plant-protein-chocolate-flavour-alpro,2025-10-17,,,,,,
68,Bebida de almendra 0% azúcares,Hacendado,8480000239266,Autre boisson,64.0,16.0,0.3,0.0,32.0,0.08,0.5,0.0,0,1,B,71.0,B,NON,5,"e340, e340iii, e418, e452, e473",https://world.openfoodfacts.org/product/8480000239266/bebida-de-almendra-0-azucares-hacendado,2025-10-17,,,,,,
69,Coconut Milk,Sainsbury's,00159111,Boisson lactée,623.0,149.0,13.8,1.6,20.0,0.05,1.3,0.5,0,16,E,71.0,B,NON,3,"e223, e435, e466",https://world.openfoodfacts.org/product/00159111/coconut-milk-sainsbury-s,2025-10-17,,,,,,
70,le bio pour toute la famille multifruit,pressade,3254691586054,Jus de fruits,159.0,38.0,0.0,8.2,0.0,0.0,0.0,0.0,0,10,E,54.0,C,OUI,0,,https://world.openfoodfacts.org/product/3254691586054/le-bio-pour-toute-la-famille-multifruit-pressade,2025-10-17,,,,,,
71,Wasser Volvic naturelle,Volvic,3057640186158,Autre boisson,0.0,0.0,0.0,0.0,12.0,0.03,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3057640186158/naturliches-mineralwasser-volvic,2025-10-17,,,,,,
72,Ovomaltine Céréal Energy,Ovomaltine,7612100914199,Soda,1600.0,375.0,1.0,51.0,200.0,0.5,9.5,0.0,0,15,E,51.0,C,NON,0,,https://world.openfoodfacts.org/product/7612100914199/ovomaltine-cereal-energy,2025-10-17,,,,,,
73,Danone max red fruit,Danone,6111032009412,Autre boisson,217.0,51.9,0.85,9.3,0.0,0.0,1.4,0.0,0,11,E,,UNKNOWN,NON,0,,https://world.openfoodfacts.org/product/6111032009412/danone-max-red-fruit,2025-10-17,,,,,,
74,Fanta Orange,Fanta,5449000004840,Soda,81.0,19.0,0.0,4.5,8.0,0.02,0.0,0.0,0,8,D,,NOT-APPLICABLE,NON,5,"e202, e414, e444, e950, e959",https://world.openfoodfacts.org/product/5449000004840/fanta-orange,2025-10-17,,,,,,
75,"RICORE au Lait, Café & Chicorée, Boîte 400g","Nestlé, Ricore",3033710071005,Café,1818.0,434.0,9.6,39.0,400.0,1.0,15.0,11.0,0,8,D,-15.0,F,NON,2,"e331, e340",https://world.openfoodfacts.org/product/3033710071005/ricore-au-lait-cafe-chicoree-boite-400g-nestle,2025-10-17,,,,,,
76,Boisson Noisette,Bjorg,3229820181424,Boisson lactée,286.0,69.0,0.4,4.0,20.0,0.05,1.0,1.1,0,9,D,82.0,A,OUI,2,"e412, e415",https://world.openfoodfacts.org/product/3229820181424/boisson-noisette-calcium-bjorg,2025-10-17,,,,,,
77,"Alpro Mandeldrink Weiß Ungesüßt, Ungeröstet 1 LT",Alpro,5411188122661,Boisson lactée,56.0,13.0,0.1,0.0,56.0,0.14,0.5,0.2,0,1,B,59.0,C,NON,2,"e322, e418",https://world.openfoodfacts.org/product/5411188122661/alpro-mandeldrink-weiss-ungesusst-ungerostet-1-lt,2025-10-17,,,,,,
78,jaouda p'tit dej honey,Jaouda,6111242109544,Boisson lactée,97.6,97.0,2.4,9.0,80.0,0.2,3.0,1.0,0,5,C,18.0,E,NON,0,,https://world.openfoodfacts.org/product/6111242109544/jaouda-p-tit-dej-honey,2025-10-17,,,,,,
79,Organic & unsweetened Almond,Plenish,5060362070474,Autre boisson,121.0,29.0,0.2,0.0,40.0,0.1,1.0,0.5,0,2,B,79.0,A,OUI,0,,https://world.openfoodfacts.org/product/5060362070474/organic-unsweetened-almond-plenish,2025-10-17,,,,,,
80,Whole Oat Drink,Oatly,7394376620713,Boisson lactée,248.0,59.0,0.3,3.4,40.0,0.1,1.1,0.8,0,7,D,56.0,C,NON,2,"e340, e340ii",https://world.openfoodfacts.org/product/7394376620713/whole-oat-drink-oatly,2025-10-17,,,,,,
81,Natural Coconut Cream,Kara,8886303210207,Boisson lactée,147.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0,5,C,69.0,B,NON,3,"e407, e412, e415",https://world.openfoodfacts.org/product/8886303210207/natural-coconut-cream-kara,2025-10-17,,,,,,
82,PET 1L OCEAN SPRAY CLASS,Ocean Spray,1200101017825,Autre boisson,167.0,39.0,0.0,9.3,0.0,0.0,0.0,0.0,0,11,E,44.0,D,NON,0,,https://world.openfoodfacts.org/product/1200101017825/pet-1l-ocean-spray-class,2025-10-17,,,,,,
83,"Tropicana 100% oranges pressées sans pulpe format familial 1,5 L",Tropicana,3502110006790,Jus de fruits,182.0,43.0,0.0,8.9,0.0,0.0,0.8,0.6,0,4,C,52.0,C,NON,0,,https://world.openfoodfacts.org/product/3502110006790/tropicana-100-oranges-pressees-sans-pulpe-format-familial-1-5-l,2025-10-17,,,,,,
84,Omar,Jaouda,6111242109537,Autre boisson,403.0,96.0,2.4,8.0,0.0,0.0,2.0,1.5,0,15,E,-20.0,F,NON,0,,https://world.openfoodfacts.org/product/6111242109537/omar-jaouda,2025-10-17,,,,,,
85,Goody cao,Bellarom,4056489009979,Soda,1624.0,384.0,1.7,75.8,40.0,0.1,5.4,7.5,0,16,E,72.0,B,NON,2,"e322, e322i",https://world.openfoodfacts.org/product/4056489009979/goody-cao-bellarom,2025-10-17,,,,,,
86,CONTREX eau minérale naturelle 1L,Contrex,3179730115821,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3179730115821/contrex-eau-minerale-naturelle-1l,2025-10-17,,,,,,
